location,date,avg_year_diff,last_year_diff
旭川,10月25日,+2,-2
札幌,11月11日,+14,+1
帯広,10月29日,+9,-3
釧路,10月19日,+3,-4
室蘭,11月17日,+10,-3
函館,11月14日,+12,+3
青森,11月15日,+2,-4
秋田,11月17日,+5,-11
盛岡,11月27日,+14,+3
山形,12月4日,+9,-2
仙台,11月22日,+1,-2
福島,11月22日,+5,0
新潟,11月26日,+11,+3
金沢,12月3日,+9,+2
富山,11月29日,+5,+2
長野,12月2日,+20,+3
宇都宮,12月6日,+16,+1
福井,12月9日,+11,+1
前橋,12月6日,-2,-1
熊谷,12月4日,+3,-4
水戸,12月2日,+12,+5
岐阜,12月5日,+9,+8
名古屋,12月5日,+7,+8
甲府,12月9日,+10,+11
銚子,12月16日,+4,+8
津,11月28日,+3,+4
静岡,12月12日,+7,+8
東京,12月3日,+5,+4
横浜,12月20日,+6,-1
松江,-,///,///
鳥取,12月5日,+5,+1
京都,12月20日,+15,+7
彦根,12月2日,+4,+1
下関,12月9日,+3,+10
広島,12月2日,+10,+8
岡山,12月5日,+6,+8
神戸,12月2日,+1,+8
大阪,12月10日,+9,+5
和歌山,12月18日,+12,+11
奈良,11月28日,+7,+8
福岡,12月6日,+5,+6
佐賀,12月12日,+12,+14
大分,11月29日,+1,+7
長崎,12月16日,+9,///
熊本,12月19日,+17,+13
鹿児島,12月10日,-5,+13
宮崎,12月2日,-2,+10
松山,12月16日,+11,+9
高松,12月8日,+15,+14
高知,12月12日,+10,+1
徳島,12月5日,+7,+7
